date,hospital_id,drug_atc_code,drug_name,qty_ordered,qty_used,qty_wasted,patient_visits,avg_lead_time_days,unit_cost_eur,pathology_focus,region,hospital_size_beds,is_rural
2023-05-01,HOSP_001,J01DD04,Ceftriaxone,548,477,71,2053,6,5.0,general,Ile-de-France,1200,False
2023-06-01,HOSP_001,J01DD04,Ceftriaxone,520,452,68,1934,7,5.0,general,Ile-de-France,1200,False
2023-07-01,HOSP_001,J01DD04,Ceftriaxone,526,480,46,2061,3,5.0,general,Ile-de-France,1200,False
2023-08-01,HOSP_001,J01DD04,Ceftriaxone,750,674,76,2184,5,5.0,general,Ile-de-France,1200,False
2023-09-01,HOSP_001,J01DD04,Ceftriaxone,511,439,72,2149,5,5.0,general,Ile-de-France,1200,False
2023-10-01,HOSP_001,J01DD04,Ceftriaxone,759,665,94,3465,6,5.0,general,Ile-de-France,1200,False
2023-11-01,HOSP_001,J01DD04,Ceftriaxone,734,671,63,3040,6,5.0,general,Ile-de-France,1200,False
2023-12-01,HOSP_001,J01DD04,Ceftriaxone,818,734,84,3093,3,5.0,general,Ile-de-France,1200,False
2024-01-01,HOSP_001,J01DD04,Ceftriaxone,823,723,100,2796,4,5.0,general,Ile-de-France,1200,False
2024-02-01,HOSP_001,J01DD04,Ceftriaxone,726,650,76,3176,7,5.0,general,Ile-de-France,1200,False
2024-03-01,HOSP_001,J01DD04,Ceftriaxone,525,448,77,1917,5,5.0,general,Ile-de-France,1200,False
2024-04-01,HOSP_001,J01DD04,Ceftriaxone,565,501,64,2755,6,5.0,general,Ile-de-France,1200,False
2024-05-01,HOSP_001,J01DD04,Ceftriaxone,549,483,66,1678,7,5.0,general,Ile-de-France,1200,False
2024-06-01,HOSP_001,J01DD04,Ceftriaxone,503,444,59,2003,4,5.0,general,Ile-de-France,1200,False
2024-07-01,HOSP_001,J01DD04,Ceftriaxone,528,455,73,2167,5,5.0,general,Ile-de-France,1200,False
2024-08-01,HOSP_001,J01DD04,Ceftriaxone,495,452,43,2030,3,5.0,general,Ile-de-France,1200,False
2024-09-01,HOSP_001,J01DD04,Ceftriaxone,531,461,70,2161,4,5.0,general,Ile-de-France,1200,False
2024-10-01,HOSP_001,J01DD04,Ceftriaxone,721,652,69,2698,3,5.0,general,Ile-de-France,1200,False
2024-11-01,HOSP_001,J01DD04,Ceftriaxone,709,634,75,2741,5,5.0,general,Ile-de-France,1200,False
2024-12-01,HOSP_001,J01DD04,Ceftriaxone,699,596,103,3102,7,5.0,general,Ile-de-France,1200,False
2023-01-01,HOSP_001,J01FA10,Azithromycin,554,500,54,2791,3,4.5,general,Ile-de-France,1200,False
2023-02-01,HOSP_001,J01FA10,Azithromycin,542,482,60,2605,3,4.5,general,Ile-de-France,1200,False
2023-03-01,HOSP_001,J01FA10,Azithromycin,405,351,54,2167,4,4.5,general,Ile-de-France,1200,False
2023-04-01,HOSP_001,J01FA10,Azithromycin,408,366,42,2180,7,4.5,general,Ile-de-France,1200,False
2023-05-01,HOSP_001,J01FA10,Azithromycin,388,347,41,2225,6,4.5,general,Ile-de-France,1200,False
2023-06-01,HOSP_001,J01FA10,Azithromycin,405,346,59,1841,6,4.5,general,Ile-de-France,1200,False
2023-07-01,HOSP_001,J01FA10,Azithromycin,446,384,62,2095,6,4.5,general,Ile-de-France,1200,False
2023-08-01,HOSP_001,J01FA10,Azithromycin,441,379,62,2433,3,4.5,general,Ile-de-France,1200,False
2023-09-01,HOSP_001,J01FA10,Azithromycin,600,519,81,2049,5,4.5,general,Ile-de-France,1200,False
2023-10-01,HOSP_001,J01FA10,Azithromycin,554,509,45,3407,5,4.5,general,Ile-de-France,1200,False
2023-11-01,HOSP_001,J01FA10,Azithromycin,564,492,72,2374,4,4.5,general,Ile-de-France,1200,False
2023-12-01,HOSP_001,J01FA10,Azithromycin,527,463,64,2724,5,4.5,general,Ile-de-France,1200,False
2024-01-01,HOSP_001,J01FA10,Azithromycin,547,476,71,2591,7,4.5,general,Ile-de-France,1200,False
2024-02-01,HOSP_001,J01FA10,Azithromycin,541,486,55,3286,3,4.5,general,Ile-de-France,1200,False
2024-03-01,HOSP_001,J01FA10,Azithromycin,415,354,61,2100,7,4.5,general,Ile-de-France,1200,False
2024-04-01,HOSP_001,J01FA10,Azithromycin,394,347,47,2171,7,4.5,general,Ile-de-France,1200,False
2024-05-01,HOSP_001,J01FA10,Azithromycin,370,337,33,2182,3,4.5,general,Ile-de-France,1200,False
2024-06-01,HOSP_001,J01FA10,Azithromycin,453,387,66,2072,7,4.5,general,Ile-de-France,1200,False
2024-07-01,HOSP_001,J01FA10,Azithromycin,359,311,48,2201,6,4.5,general,Ile-de-France,1200,False
2024-08-01,HOSP_001,J01FA10,Azithromycin,380,328,52,1675,3,4.5,general,Ile-de-France,1200,False
2024-09-01,HOSP_001,J01FA10,Azithromycin,395,347,48,2020,3,4.5,general,Ile-de-France,1200,False
2024-10-01,HOSP_001,J01FA10,Azithromycin,604,528,76,2462,4,4.5,general,Ile-de-France,1200,False
2024-11-01,HOSP_001,J01FA10,Azithromycin,502,453,49,2602,7,4.5,general,Ile-de-France,1200,False
2024-12-01,HOSP_001,J01FA10,Azithromycin,632,577,55,2637,6,4.5,general,Ile-de-France,1200,False
2023-01-01,HOSP_001,L01CD01,Paclitaxel,78,65,13,2502,4,800.0,general,Ile-de-France,1200,False
2023-02-01,HOSP_001,L01CD01,Paclitaxel,79,60,19,2226,4,800.0,general,Ile-de-France,1200,False
2023-03-01,HOSP_001,L01CD01,Paclitaxel,78,65,13,1840,5,800.0,general,Ile-de-France,1200,False
2023-04-01,HOSP_001,L01CD01,Paclitaxel,79,66,13,2015,3,800.0,general,Ile-de-France,1200,False
2023-05-01,HOSP_001,L01CD01,Paclitaxel,83,65,18,2166,7,800.0,general,Ile-de-France,1200,False
2023-06-01,HOSP_001,L01CD01,Paclitaxel,80,61,19,1979,4,800.0,general,Ile-de-France,1200,False
2023-07-01,HOSP_001,L01CD01,Paclitaxel,82,68,14,2734,4,800.0,general,Ile-de-France,1200,False
2023-08-01,HOSP_001,L01CD01,Paclitaxel,89,72,17,1971,4,800.0,general,Ile-de-France,1200,False
2023-09-01,HOSP_001,L01CD01,Paclitaxel,74,57,17,2189,5,800.0,general,Ile-de-France,1200,False
2023-10-01,HOSP_001,L01CD01,Paclitaxel,70,54,16,2230,7,800.0,general,Ile-de-France,1200,False
2023-11-01,HOSP_001,L01CD01,Paclitaxel,74,57,17,2190,6,800.0,general,Ile-de-France,1200,False
2023-12-01,HOSP_001,L01CD01,Paclitaxel,71,59,12,1872,6,800.0,general,Ile-de-France,1200,False
2024-01-01,HOSP_001,L01CD01,Paclitaxel,81,62,19,1586,6,800.0,general,Ile-de-France,1200,False
2024-02-01,HOSP_001,L01CD01,Paclitaxel,81,67,14,2054,4,800.0,general,Ile-de-France,1200,False
2024-03-01,HOSP_001,L01CD01,Paclitaxel,70,57,13,2502,4,800.0,general,Ile-de-France,1200,False
2024-04-01,HOSP_001,L01CD01,Paclitaxel,85,69,16,2120,4,800.0,general,Ile-de-France,1200,False
2024-05-01,HOSP_001,L01CD01,Paclitaxel,74,61,13,2411,6,800.0,general,Ile-de-France,1200,False
2024-06-01,HOSP_001,L01CD01,Paclitaxel,90,74,16,2227,7,800.0,general,Ile-de-France,1200,False
2024-07-01,HOSP_001,L01CD01,Paclitaxel,90,71,19,2310,5,800.0,general,Ile-de-France,1200,False
2024-08-01,HOSP_001,L01CD01,Paclitaxel,80,66,14,2344,5,800.0,general,Ile-de-France,1200,False
2024-09-01,HOSP_001,L01CD01,Paclitaxel,73,57,16,2093,7,800.0,general,Ile-de-France,1200,False
2024-10-01,HOSP_001,L01CD01,Paclitaxel,84,65,19,2289,6,800.0,general,Ile-de-France,1200,False
2024-11-01,HOSP_001,L01CD01,Paclitaxel,71,59,12,1883,3,800.0,general,Ile-de-France,1200,False
2024-12-01,HOSP_001,L01CD01,Paclitaxel,80,62,18,1786,7,800.0,general,Ile-de-France,1200,False
2023-01-01,HOSP_001,L01XA01,Cisplatin,99,82,17,1874,3,350.0,general,Ile-de-France,1200,False
2023-02-01,HOSP_001,L01XA01,Cisplatin,109,86,23,2263,3,350.0,general,Ile-de-France,1200,False
2023-03-01,HOSP_001,L01XA01,Cisplatin,90,72,18,2149,7,350.0,general,Ile-de-France,1200,False
2023-04-01,HOSP_001,L01XA01,Cisplatin,119,94,25,2007,6,350.0,general,Ile-de-France,1200,False
2023-05-01,HOSP_001,L01XA01,Cisplatin,111,93,18,2448,5,350.0,general,Ile-de-France,1200,False
2023-06-01,HOSP_001,L01XA01,Cisplatin,113,87,26,2307,6,350.0,general,Ile-de-France,1200,False
2023-07-01,HOSP_001,L01XA01,Cisplatin,115,87,28,2183,6,350.0,general,Ile-de-France,1200,False
2023-08-01,HOSP_001,L01XA01,Cisplatin,100,82,18,2101,4,350.0,general,Ile-de-France,1200,False
2023-09-01,HOSP_001,L01XA01,Cisplatin,110,83,27,1908,6,350.0,general,Ile-de-France,1200,False
2023-10-01,HOSP_001,L01XA01,Cisplatin,118,94,24,1958,4,350.0,general,Ile-de-France,1200,False
2023-11-01,HOSP_001,L01XA01,Cisplatin,108,87,21,2136,6,350.0,general,Ile-de-France,1200,False
2023-12-01,HOSP_001,L01XA01,Cisplatin,102,77,25,2026,7,350.0,general,Ile-de-France,1200,False
2024-01-01,HOSP_001,L01XA01,Cisplatin,124,98,26,1706,5,350.0,general,Ile-de-France,1200,False
2024-02-01,HOSP_001,L01XA01,Cisplatin,103,87,16,2413,5,350.0,general,Ile-de-France,1200,False
2024-03-01,HOSP_001,L01XA01,Cisplatin,95,78,17,1792,4,350.0,general,Ile-de-France,1200,False
2024-04-01,HOSP_001,L01XA01,Cisplatin,110,83,27,2192,5,350.0,general,Ile-de-France,1200,False
2024-05-01,HOSP_001,L01XA01,Cisplatin,96,72,24,2145,6,350.0,general,Ile-de-France,1200,False
2024-06-01,HOSP_001,L01XA01,Cisplatin,110,92,18,2163,4,350.0,general,Ile-de-France,1200,False
2024-07-01,HOSP_001,L01XA01,Cisplatin,112,85,27,2246,4,350.0,general,Ile-de-France,1200,False
2024-08-01,HOSP_001,L01XA01,Cisplatin,105,81,24,2308,4,350.0,general,Ile-de-France,1200,False
2024-09-01,HOSP_001,L01XA01,Cisplatin,104,82,22,2077,3,350.0,general,Ile-de-France,1200,False
2024-10-01,HOSP_001,L01XA01,Cisplatin,113,89,24,1857,3,350.0,general,Ile-de-France,1200,False
2024-11-01,HOSP_001,L01XA01,Cisplatin,96,73,23,1989,6,350.0,general,Ile-de-France,1200,False
2024-12-01,HOSP_001,L01XA01,Cisplatin,94,73,21,2129,7,350.0,general,Ile-de-France,1200,False
2023-01-01,HOSP_001,L01FG01,Bevacizumab,58,49,9,1969,3,2500.0,general,Ile-de-France,1200,False
2023-02-01,HOSP_001,L01FG01,Bevacizumab,53,41,12,2153,3,2500.0,general,Ile-de-France,1200,False
2023-03-01,HOSP_001,L01FG01,Bevacizumab,50,42,8,1817,3,2500.0,general,Ile-de-France,1200,False
2023-04-01,HOSP_001,L01FG01,Bevacizumab,52,41,11,2500,3,2500.0,general,Ile-de-France,1200,False
2023-05-01,HOSP_001,L01FG01,Bevacizumab,48,41,7,1911,3,2500.0,general,Ile-de-France,1200,False
2023-06-01,HOSP_001,L01FG01,Bevacizumab,53,41,12,2331,3,2500.0,general,Ile-de-France,1200,False
2023-07-01,HOSP_001,L01FG01,Bevacizumab,51,42,9,1905,5,2500.0,general,Ile-de-France,1200,False
2023-08-01,HOSP_001,L01FG01,Bevacizumab,55,43,12,2203,5,2500.0,general,Ile-de-France,1200,False
2023-09-01,HOSP_001,L01FG01,Bevacizumab,55,42,13,2060,5,2500.0,general,Ile-de-France,1200,False
2023-10-01,HOSP_001,L01FG01,Bevacizumab,57,45,12,2371,5,2500.0,general,Ile-de-France,1200,False
2023-11-01,HOSP_001,L01FG01,Bevacizumab,55,44,11,2208,7,2500.0,general,Ile-de-France,1200,False
2023-12-01,HOSP_001,L01FG01,Bevacizumab,55,46,9,1951,5,2500.0,general,Ile-de-France,1200,False
2024-01-01,HOSP_001,L01FG01,Bevacizumab,57,46,11,2204,5,2500.0,general,Ile-de-France,1200,False
2024-02-01,HOSP_001,L01FG01,Bevacizumab,55,45,10,1794,6,2500.0,general,Ile-de-France,1200,False
2024-03-01,HOSP_001,L01FG01,Bevacizumab,46,38,8,2035,4,2500.0,general,Ile-de-France,1200,False
2024-04-01,HOSP_001,L01FG01,Bevacizumab,61,50,11,1928,5,2500.0,general,Ile-de-France,1200,False
2024-05-01,HOSP_001,L01FG01,Bevacizumab,55,43,12,2073,5,2500.0,general,Ile-de-France,1200,False
2024-06-01,HOSP_001,L01FG01,Bevacizumab,56,43,13,2360,6,2500.0,general,Ile-de-France,1200,False
2024-07-01,HOSP_001,L01FG01,Bevacizumab,49,39,10,2688,7,2500.0,general,Ile-de-France,1200,False
2024-08-01,HOSP_001,L01FG01,Bevacizumab,59,45,14,2257,5,2500.0,general,Ile-de-France,1200,False
2024-09-01,HOSP_001,L01FG01,Bevacizumab,53,42,11,1967,4,2500.0,general,Ile-de-France,1200,False
2024-10-01,HOSP_001,L01FG01,Bevacizumab,50,40,10,2264,4,2500.0,general,Ile-de-France,1200,False
2024-11-01,HOSP_001,L01FG01,Bevacizumab,56,43,13,2212,3,2500.0,general,Ile-de-France,1200,False
2024-12-01,HOSP_001,L01FG01,Bevacizumab,50,42,8,2100,4,2500.0,general,Ile-de-France,1200,False
2023-01-01,HOSP_001,N02BE01,Paracetamol,2790,2705,85,1709,6,0.5,general,Ile-de-France,1200,False
2023-02-01,HOSP_001,N02BE01,Paracetamol,3506,3385,121,1980,7,0.5,general,Ile-de-France,1200,False
2023-03-01,HOSP_001,N02BE01,Paracetamol,2863,2746,117,2017,3,0.5,general,Ile-de-France,1200,False
2023-04-01,HOSP_001,N02BE01,Paracetamol,3297,3167,130,2233,7,0.5,general,Ile-de-France,1200,False
2023-05-01,HOSP_001,N02BE01,Paracetamol,2850,2731,119,2155,4,0.5,general,Ile-de-France,1200,False
2023-06-01,HOSP_001,N02BE01,Paracetamol,3715,3545,170,2504,3,0.5,general,Ile-de-France,1200,False
2023-07-01,HOSP_001,N02BE01,Paracetamol,3350,3165,185,2729,7,0.5,general,Ile-de-France,1200,False
2023-08-01,HOSP_001,N02BE01,Paracetamol,3301,3104,197,2302,5,0.5,general,Ile-de-France,1200,False
2023-09-01,HOSP_001,N02BE01,Paracetamol,5622,5387,235,2444,7,0.5,general,Ile-de-France,1200,False
2023-10-01,HOSP_001,N02BE01,Paracetamol,3258,3114,144,2056,6,0.5,general,Ile-de-France,1200,False
2023-11-01,HOSP_001,N02BE01,Paracetamol,2989,2818,171,2230,6,0.5,general,Ile-de-France,1200,False
2023-12-01,HOSP_001,N02BE01,Paracetamol,3343,3194,149,2378,4,0.5,general,Ile-de-France,1200,False
2024-01-01,HOSP_001,N02BE01,Paracetamol,2664,2577,87,1774,7,0.5,general,Ile-de-France,1200,False
2024-02-01,HOSP_001,N02BE01,Paracetamol,3255,3094,161,2079,7,0.5,general,Ile-de-France,1200,False
2024-03-01,HOSP_001,N02BE01,Paracetamol,3164,3064,100,1918,6,0.5,general,Ile-de-France,1200,False
2024-04-01,HOSP_001,N02BE01,Paracetamol,3348,3163,185,2252,5,0.5,general,Ile-de-France,1200,False
2024-05-01,HOSP_001,N02BE01,Paracetamol,3266,3085,181,2115,5,0.5,general,Ile-de-France,1200,False
2024-06-01,HOSP_001,N02BE01,Paracetamol,3334,3149,185,2055,7,0.5,general,Ile-de-France,1200,False
2024-07-01,HOSP_001,N02BE01,Paracetamol,3301,3163,138,2425,6,0.5,general,Ile-de-France,1200,False
2024-08-01,HOSP_001,N02BE01,Paracetamol,3331,3197,134,2520,6,0.5,general,Ile-de-France,1200,False
2024-09-01,HOSP_001,N02BE01,Paracetamol,3164,2981,183,2250,5,0.5,general,Ile-de-France,1200,False
2024-10-01,HOSP_001,N02BE01,Paracetamol,2876,2789,87,2189,4,0.5,general,Ile-de-France,1200,False
2024-11-01,HOSP_001,N02BE01,Paracetamol,2998,2851,147,1823,7,0.5,general,Ile-de-France,1200,False
2024-12-01,HOSP_001,N02BE01,Paracetamol,3480,3296,184,2211,6,0.5,general,Ile-de-France,1200,False
2023-01-01,HOSP_001,N02AA01,Morphine,222,209,13,2071,5,12.0,general,Ile-de-France,1200,False
2023-02-01,HOSP_001,N02AA01,Morphine,280,265,15,1882,7,12.0,general,Ile-de-France,1200,False
2023-03-01,HOSP_001,N02AA01,Morphine,251,239,12,2477,3,12.0,general,Ile-de-France,1200,False
2023-04-01,HOSP_001,N02AA01,Morphine,271,257,14,1781,7,12.0,general,Ile-de-France,1200,False
2023-05-01,HOSP_001,N02AA01,Morphine,243,230,13,2022,7,12.0,general,Ile-de-France,1200,False
2023-06-01,HOSP_001,N02AA01,Morphine,298,280,18,2468,7,12.0,general,Ile-de-France,1200,False
2023-07-01,HOSP_001,N02AA01,Morphine,281,272,9,2199,5,12.0,general,Ile-de-France,1200,False
2023-08-01,HOSP_001,N02AA01,Morphine,304,287,17,2452,7,12.0,general,Ile-de-France,1200,False
2023-09-01,HOSP_001,N02AA01,Morphine,235,228,7,1913,7,12.0,general,Ile-de-France,1200,False
2023-10-01,HOSP_001,N02AA01,Morphine,240,227,13,1961,6,12.0,general,Ile-de-France,1200,False
2023-11-01,HOSP_001,N02AA01,Morphine,243,230,13,2185,7,12.0,general,Ile-de-France,1200,False
2023-12-01,HOSP_001,N02AA01,Morphine,294,278,16,2140,4,12.0,general,Ile-de-France,1200,False
2024-01-01,HOSP_001,N02AA01,Morphine,272,258,14,2234,6,12.0,general,Ile-de-France,1200,False
2024-02-01,HOSP_001,N02AA01,Morphine,259,246,13,1911,5,12.0,general,Ile-de-France,1200,False
2024-03-01,HOSP_001,N02AA01,Morphine,222,213,9,2677,7,12.0,general,Ile-de-France,1200,False
2024-04-01,HOSP_001,N02AA01,Morphine,231,221,10,2072,4,12.0,general,Ile-de-France,1200,False
2024-05-01,HOSP_001,N02AA01,Morphine,263,254,9,2257,6,12.0,general,Ile-de-France,1200,False
2024-06-01,HOSP_001,N02AA01,Morphine,263,249,14,2828,4,12.0,general,Ile-de-France,1200,False
2024-07-01,HOSP_001,N02AA01,Morphine,297,284,13,2313,3,12.0,general,Ile-de-France,1200,False
2024-08-01,HOSP_001,N02AA01,Morphine,258,247,11,2255,5,12.0,general,Ile-de-France,1200,False
2024-09-01,HOSP_001,N02AA01,Morphine,301,291,10,2489,3,12.0,general,Ile-de-France,1200,False
2024-10-01,HOSP_001,N02AA01,Morphine,278,270,8,1948,3,12.0,general,Ile-de-France,1200,False
2024-11-01,HOSP_001,N02AA01,Morphine,270,259,11,2064,7,12.0,general,Ile-de-France,1200,False
2024-12-01,HOSP_001,N02AA01,Morphine,266,254,12,2060,7,12.0,general,Ile-de-France,1200,False
2023-01-01,HOSP_001,N02AX02,Tramadol,477,459,18,1789,7,3.5,general,Ile-de-France,1200,False
2023-02-01,HOSP_001,N02AX02,Tramadol,462,438,24,2301,7,3.5,general,Ile-de-France,1200,False
2023-03-01,HOSP_001,N02AX02,Tramadol,489,470,19,1852,4,3.5,general,Ile-de-France,1200,False
2023-04-01,HOSP_001,N02AX02,Tramadol,492,464,28,2215,4,3.5,general,Ile-de-France,1200,False
2023-05-01,HOSP_001,N02AX02,Tramadol,494,467,27,2098,6,3.5,general,Ile-de-France,1200,False
2023-06-01,HOSP_001,N02AX02,Tramadol,551,518,33,2224,5,3.5,general,Ile-de-France,1200,False
2023-07-01,HOSP_001,N02AX02,Tramadol,512,494,18,2532,4,3.5,general,Ile-de-France,1200,False
2023-08-01,HOSP_001,N02AX02,Tramadol,511,481,30,2420,3,3.5,general,Ile-de-France,1200,False
2023-09-01,HOSP_001,N02AX02,Tramadol,472,457,15,1653,6,3.5,general,Ile-de-France,1200,False
2023-10-01,HOSP_001,N02AX02,Tramadol,454,437,17,1928,3,3.5,general,Ile-de-France,1200,False
2023-11-01,HOSP_001,N02AX02,Tramadol,449,429,20,2371,3,3.5,general,Ile-de-France,1200,False
2023-12-01,HOSP_001,N02AX02,Tramadol,445,427,18,2357,3,3.5,general,Ile-de-France,1200,False
2024-01-01,HOSP_001,N02AX02,Tramadol,447,431,16,2252,5,3.5,general,Ile-de-France,1200,False
2024-02-01,HOSP_001,N02AX02,Tramadol,502,487,15,2283,4,3.5,general,Ile-de-France,1200,False
2024-03-01,HOSP_001,N02AX02,Tramadol,445,432,13,2088,4,3.5,general,Ile-de-France,1200,False
2024-04-01,HOSP_001,N02AX02,Tramadol,427,409,18,2058,5,3.5,general,Ile-de-France,1200,False
2024-05-01,HOSP_001,N02AX02,Tramadol,446,429,17,2374,5,3.5,general,Ile-de-France,1200,False
2024-06-01,HOSP_001,N02AX02,Tramadol,473,449,24,2690,4,3.5,general,Ile-de-France,1200,False
2024-07-01,HOSP_001,N02AX02,Tramadol,538,507,31,2079,5,3.5,general,Ile-de-France,1200,False
2024-08-01,HOSP_001,N02AX02,Tramadol,545,526,19,2475,5,3.5,general,Ile-de-France,1200,False
2024-09-01,HOSP_001,N02AX02,Tramadol,474,447,27,2167,7,3.5,general,Ile-de-France,1200,False
2024-10-01,HOSP_001,N02AX02,Tramadol,507,490,17,1654,3,3.5,general,Ile-de-France,1200,False
2024-11-01,HOSP_001,N02AX02,Tramadol,514,490,24,1916,6,3.5,general,Ile-de-France,1200,False
2024-12-01,HOSP_001,N02AX02,Tramadol,483,456,27,2517,7,3.5,general,Ile-de-France,1200,False
2023-01-01,HOSP_001,C10AA05,Atorvastatin,829,793,36,1943,4,1.8,general,Ile-de-France,1200,False
2023-02-01,HOSP_001,C10AA05,Atorvastatin,783,757,26,2570,4,1.8,general,Ile-de-France,1200,False
2023-03-01,HOSP_001,C10AA05,Atorvastatin,900,872,28,1937,3,1.8,general,Ile-de-France,1200,False
2023-04-01,HOSP_001,C10AA05,Atorvastatin,836,804,32,2400,4,1.8,general,Ile-de-France,1200,False
2023-05-01,HOSP_001,C10AA05,Atorvastatin,836,811,25,2269,7,1.8,general,Ile-de-France,1200,False
2023-06-01,HOSP_001,C10AA05,Atorvastatin,700,686,14,2015,3,1.8,general,Ile-de-France,1200,False
2023-07-01,HOSP_001,C10AA05,Atorvastatin,728,698,30,2502,7,1.8,general,Ile-de-France,1200,False
2023-08-01,HOSP_001,C10AA05,Atorvastatin,814,783,31,2136,4,1.8,general,Ile-de-France,1200,False
2023-09-01,HOSP_001,C10AA05,Atorvastatin,811,778,33,2218,6,1.8,general,Ile-de-France,1200,False
2023-10-01,HOSP_001,C10AA05,Atorvastatin,727,712,15,2116,5,1.8,general,Ile-de-France,1200,False
2023-11-01,HOSP_001,C10AA05,Atorvastatin,901,867,34,2136,5,1.8,general,Ile-de-France,1200,False
2023-12-01,HOSP_001,C10AA05,Atorvastatin,802,773,29,1902,7,1.8,general,Ile-de-France,1200,False
2024-01-01,HOSP_001,C10AA05,Atorvastatin,792,775,17,1867,3,1.8,general,Ile-de-France,1200,False
2024-02-01,HOSP_001,C10AA05,Atorvastatin,822,785,37,2107,4,1.8,general,Ile-de-France,1200,False
2024-03-01,HOSP_001,C10AA05,Atorvastatin,856,833,23,2352,7,1.8,general,Ile-de-France,1200,False
2024-04-01,HOSP_001,C10AA05,Atorvastatin,753,725,28,2207,4,1.8,general,Ile-de-France,1200,False
2024-05-01,HOSP_001,C10AA05,Atorvastatin,821,787,34,2368,4,1.8,general,Ile-de-France,1200,False
2024-06-01,HOSP_001,C10AA05,Atorvastatin,730,706,24,2180,6,1.8,general,Ile-de-France,1200,False
2024-07-01,HOSP_001,C10AA05,Atorvastatin,789,754,35,2187,5,1.8,general,Ile-de-France,1200,False
2024-08-01,HOSP_001,C10AA05,Atorvastatin,765,729,36,2048,5,1.8,general,Ile-de-France,1200,False
2024-09-01,HOSP_001,C10AA05,Atorvastatin,814,794,20,1890,4,1.8,general,Ile-de-France,1200,False
2024-10-01,HOSP_001,C10AA05,Atorvastatin,881,841,40,2201,3,1.8,general,Ile-de-France,1200,False
2024-11-01,HOSP_001,C10AA05,Atorvastatin,735,710,25,1736,6,1.8,general,Ile-de-France,1200,False
